org	id	likes	reviewer_url	reviewer	type	rating	date	review
Vaccination News A Nonprofit Corporation	216129	1	/users/profile/204206	David147,	General Member of the Public	5	09/21/2014	I could not have written my book "Evidence of Harm" without Vaccination News - the most thorough online compendium of real-time news and analysis from around the world. Whatever your views on vaccination are, this is a vital and useful site.
Vaccination News A Nonprofit Corporation	243573	3	/users/profile/330349	PleaseVaccinate	General Member of the Public	1	05/26/2015	This is an awful not for profit. Please do not give money to this group! You would be far better donating money to immunology research so that vaccinations can be improved. This website is unscientific and makes false claims that it is providing fair and balanced information when it is clearly picking and choosing information that suits it agenda. Please stop spreading such dangerous lies. Vaccinations are important, and have done a lot for the health of humanity in general. The worst non profit group I have ever come across! 
Vaccination News A Nonprofit Corporation	216139	1	/users/profile/279597	anotherinternetuser002	Volunteer	5	09/21/2014	An very informative website that I have referenced for years. Thanks to vaccinationnews.org and Sandy for all that you do. 
Vaccination News A Nonprofit Corporation	216129	1	/users/profile/204206	David147	General Member of the Public	5	09/21/2014	I could not have written my book "Evidence of Harm" without Vaccination News - the most thorough online compendium of real-time news and analysis from around the world. Whatever your views on vaccination are, this is a vital and useful site.
Vaccination News A Nonprofit Corporation	153400	1	/users/profile/204206	David147	Client Served	5	04/08/2013	I am an author, journalist and blogger (Huffington Post, Take Part, etc) who has written about vaccine safety issues for 10 years. During that entire time, there has never been a more comprehensive site covering vaccine news stories of the day than this one. It makes my work go so much more efficiently.
Vaccination News A Nonprofit Corporation	216128		/users/profile/101995	John Stone	Client Served	5	09/21/2014	This is an indespensible website not only for keeping up with the latest news, it has an irreplaceable archive.
Vaccination News A Nonprofit Corporation	89644		/users/profile/101995	John Stone	General Member of the Public	5	06/05/2011	Vaccination News provides an irreplaceable on-line service, documenting activity in the area of vaccines. Excellent articles - completely indepedent of the industry. Anybody concerned for the public interest needs to use this site.
Vaccination News A Nonprofit Corporation	216078		/users/profile/101932	CStolten	Board Member	5	09/20/2014	I have known Sandy Gottstein for 14 years. She has dedicated many years speaking out for the vaccine injured, helping many along the way with her time, talent, and  treasure. Vaccination News has helped millions of people become informed on the both sides of the vaccine issue. She has battled for our rights, and our children's rights. Thank you Sandy for all of the long hours of work you have put into the vaccine issue, and for the wonderful resource Vaccination News. You truly are among those who paved the path from the beginning. 
Vaccination News A Nonprofit Corporation	89609		/users/profile/101932	CStolten	Board Member	5	06/04/2011	I first became aware of the vaccination issue when both my sons had adverse events from vaccines. I decided to do some research, and was fortunate enough to meet Sandy Gottstein President of VN. The information on the website is all-encompassing, which enables readers to see both the pros and cons of the issue. The news which is posted daily on the website keeps you up to date on all the breaking news on the subject. Much of the news articles posted will not be easily accessible through mainstream media. Vaccination News helps countless numbers of people from around the world understand this issue. It has helped parents, journalists and medical professionals find the information they need to help their children, write books and journal articles. The archives are extensive and include articles that can no longer be found elsewhere. 
Vaccination News A Nonprofit Corporation	216054		/users/profile/279497	Cynthia76	General Member of the Public	5	09/20/2014	Sandy's blog is great: her information about vaccines is detailed and accurate, and has helped me learn the facts on many occasions, which I'm then able to use in my comments on the Web. I'm grateful to her for having done so much work to serve the public interest. 
