org	id	likes	reviewer_url	reviewer	type	rating	date	review
Jewish Federation of Delaware Inc	322247		/users/profile/415959	AME17	Volunteer	5	01/27/2017	While I have been a donor for many years and have increased my donation every year I have just recently  become a volunteer.  I have always been exceedingly happy with the services this organization provides to our community and to its sister city in Israel.  Being a volunteer has given me a new prospective on the efforts expended by both the professional staff and the "army" of dedicated volunteers that makes these services possible.  This is truly a wonderful organization to both support and to participate.  I hope I am able to continue to donate and to volunteer.
Jewish Federation of Delaware Inc	322244		/users/profile/341691	Ispndmny	Volunteer	5	01/27/2017	So proud to live in a community supported by the Jewish Federation of Delaware. Their professionalism and attention to detail allows our lay leadership to reach higher and achieve more in every aspect of Jewish communal life. Their outreach spans the state of Delaware and parts of Pennsylvania and is relevant to multi-generational, multi-cultural and inter-faith families, individuals and communities. We may be small but we are mighty or as JFD says... "WE ARE STRONGER TOGETHER"   
Jewish Federation of Delaware Inc	322237		/users/profile/169768	jgsteinberg	Volunteer	5	01/27/2017	The staff is so caring and dedicated to our community. Over the past year, they have come to me with new ways to be involved Jewishly including a larger role in Women's Philanthropy and encouraging me to apply for a national fellowship. It's great to see how the funds raised have a positive impact on Jewish Delaware.
Jewish Federation of Delaware Inc	248443		/users/profile/169768	jgsteinberg	Volunteer	5	07/14/2015	The JFD staff are amazing and I am proud to work with them AND call them my friends. In the past year alone, I have seen their passion and dedication to our community in action as they work hard to do good work locally and bring the larger Jewish world to Delaware.
Jewish Federation of Delaware Inc	204249		/users/profile/169768	jgsteinberg	Volunteer	5	06/27/2014	This community is really special in that if there is something youre really passionate about, speak up, and youll find the support to make it happen. Energy and interest are truly valued by both lay and professional leadership here in Delaware. This community has not only become my home but where I look for support, for information, for inspiration and my gut reaction to this has been to pay it forward and give back. 
Jewish Federation of Delaware Inc	124762		/users/profile/169768	jgsteinberg	Volunteer	5	10/08/2012	I came to be involved in the Jewish Federation of Delaware through volunteering within one of its agencies. JFD has expanded my social circle, brought me all kinds of new experiences, and made it clear to me that I really would not want to live anywhere else right now then right here in Delaware. I am proud to be able to support my community through the JFD.
Jewish Federation of Delaware Inc	322231		/users/profile/207837	Ellisha C.	Volunteer	5	01/27/2017	Jewish Federation of Delaware does an amazing job of mobilizing our Jewish community as a collective towards the greater good for immediate needs in our local orbit, but also does a formidable job of connecting all of us to Jewish communities around the world that need our collective help. I am a proud supporter! I am actively involved as the co-chair the PJ Library program, which provides free Jewish books and music to children throughout the state and into the surrounding Brandywine Valley of Pennsylvania, and most recently participated in a focus group of parents and young professionals where we were given the opportunity to share our thoughts on where the future of Jewish Delaware should be headed. It means a lot to know that Federation takes seriously their role of "speaking" for the rest of us!
Jewish Federation of Delaware Inc	282222		/users/profile/207837	Ellisha C.	Volunteer	5	03/13/2016	The Jewish Federation of Delaware is the one organization in Delaware that is truly able to convene the whole Jewish community around Israel, security and continuity.  From the PJ Library to the Community Relations Committee, from the Siegel JCC to the Kutz Home, locally, the Federation provides for the needs of of community, cradle to grave.  And the Jewish Federation is the only Jewish community organization that I know benefits Jews in need across the globe and here at home.  I highly recommend!
Jewish Federation of Delaware Inc	156706		/users/profile/207837	Ellisha C.	Volunteer	5	04/29/2013	I have been a non-profit professional for ten years, and recently switched to a volunteer role with the Jewish Federation.  I must say that the Jewish Federation of Delaware is one of the best out there!  Yesterday was the Federation's community-wide Israel Independence Day celebration, which began with a PJ Library concert for young children and their families, and nearly 100 people came out on a Sunday morning to be a part of yet another quality program.  Pretty impressive, and it's just one of the many ways in which this organization strengthens the Jewish community in Delaware, bringing people together around a common cause throughout the year.
Jewish Federation of Delaware Inc	322229		/users/profile/336197	Byenyc	Board Member	5	01/27/2017	 Jewish Federation of Delaware has been an important part of my life and my family's life since we arrived in Delaware over 30 years ago. My husband and I are both active volunteers and proud donors to this very well run organization.  Our administration and staff serve the needs of many in our community.  Seth Katzen serves as the calm voice in the storm  and leads us in setting priorities and supporting the needs of our constituent agencies. I am so grateful to have the opportunity to be a part of this organization.
Jewish Federation of Delaware Inc	248465		/users/profile/336197	Byenyc	Board Member	5	07/14/2015	Jewish Federation of Delaware is an extremely well run organization.  I've been involved as a volunteer, donor and Board member. The administration and staff are creative, thoughtful and make the most of our community's funds. 
Jewish Federation of Delaware Inc	322228		/users/profile/169891	Gina15	Donor	5	01/27/2017	It is hard to put into words how much we love the Jewish Federation of Delaware.  It is our home away from home, our community, and our connection to living a Jewish life.  We are truly stronger together. 
Jewish Federation of Delaware Inc	282052		/users/profile/169891	Gina15	Volunteer	5	03/10/2016	I honestly do not know what our life would be like without Jewish Federation of Delaware.  Our lives are completely enriched by the support of our Federation.  We have made wonderful friends and started amazing traditions.  Our 2 year old daughter calls our campus, "MY JCC!" with such love and excitement. Five stars doesn't feel like enough! 
Jewish Federation of Delaware Inc	124842		/users/profile/169891	Gina15	Donor	5	10/09/2012	JFD has enriched our lives beyond measure.  It provides for a Jewish community that supports its people literally from birth to elder years.  The people involved in JFD embody the word "mensch"   and we are so proud to support this organization in everything it does.  
