org	id	likes	reviewer_url	reviewer	type	rating	date	review
Project Hawai'i, Inc.	309621	2	/users/profile/400975	alohalehua	Professional with expertise in this field	5	10/11/2016	Project  Hawaii gave my children  the best Christmas  when me and my husband  couldn't.  With both of us losing our jobs and had no income.  So depressed.  Project  Hawaii was there for us. Magen  became  my inspiration.  And I told God one day I'll be like her.  And give back. Years went by and today I'm a owner of a  restaurant that was always my dream.  And when a storm came and damage our town. My family  went and feed the community,  and now till this day we are the only restaurant in the Hawaii states, that has and runs a food pantry for our community open every day. And do a big thanksgiving  feeding for our community.  Feeding  over 1000. It all starts with a wish and of hope , for all our children  and families  in need. Magen gave my family that hope and answered  my wish. And today I am walking beside her in spirit sharing  the Aloha to all families . Project  Hawaii deserve top honors  for all they do for our children of all islands. Mahalo 
Project Hawai'i, Inc.	296678	3	/users/profile/387456	Colette C.	Volunteer	5	07/15/2016	My mother found this Teen Mentoring Program online and it definitely became one of best experiences I've been able to go through. It lasts 3 weeks and during it I witnessed the increasingly heavy poverty that Hawaii suffers through. I was blessed to meet a some 25 kids and have the opportunity to care for and get to know them. I was able to see the hope and humility these kids still have in their hearts, even though they suffer from disadvantages every single day. After just a week with them, I have obtained a bigger heart and a better understanding of the real world and its difficulties. I absolutely loved being given the opportunity to serve those less fortunate and giving them the same resources most people are so used to having. Serving and being with children are two immense passions of mine and this program only made them grow. From fundraising on the streets to putting clothes on the keiki, I have a whole new perspective on life. Overall, this program has changed my life and I encourage every teen to take part in this adventure.
Project Hawai'i, Inc.	296675	2	/users/profile/387454	alyssanschneider	Volunteer	5	07/15/2016	I love these kids. They do not deserve to suffer through the hardships that have been forced upon them by their situations. Helping them did not feel like a chore, it fed my soul. The smiles every morning as I served them breakfast they would not usually eat, the beautiful voices singing along with me as I played ukulele, the "I love you for taking care of me's"; All of these things make all the work of being a teen mentor worth it.  I can only hope that the knowledge of appropriate and kind behavior I tried to impart on them everyday sticks and they can be successful in school and life. Magin and Cliff create a truly unique and amazing experience for these children, with countless elements they would not typically experience, being homeless. 
Project Hawai'i, Inc.	293252	2	/users/profile/383857	Itsy	Volunteer	5	06/18/2016	As we are gearing up for the 10th year of providing a summer educational camp for the homeless children it never cease to amaze me the dedication from these awesome volunteers. While I have not been involved the entire 10 years, I have seen ups and downs with all the issues to keep this camp going. Not only having to raise all the funds to provide a free summer camp for homeless children, but to coordinate the community volunteers, set up the transportation and schedule for the field trips, plan the menu and of course do all the shopping. These two dedicated souls have made this a mission beyond what any words can describe. Great Job Project Hawai'i and the two wonderful souls who make this what it is. Magin Patrick and Cliff Kama!! Imua 
Project Hawai'i, Inc.	290937	2	/users/profile/381278	HiSocialWorker	Professional with expertise in this field	5	05/25/2016	I met this dynamic duo at a conference about people making a difference in the community. I was amazed at the dedication these two people put towards making the lives of homeless children better. Not just basic needs, but their emotional needs, and way beyond just a hand out. Project Hawai'i, Inc. seems to be a tiny organization because there is no paid staff, no office or building, but on the contrary, this program is operating on a large scale of production.  I personally work for another nonprofit organization and I don't put in half the time or energy these two do. Of course I love my job, but I don't make it my life like these two. I am very fortunate to have met these two.What a blessing they are to the community, and to our homeless children. Keep up the great work. A note to those who might be wondering who these two are, or if it is a great cause. Just do your research, google Magin Patrick, or Project Hawai'i. See the changes they make all year round. See their passion and their dedication for your self. Don't judge the fact that they don't have fancy names under their organization, or funding from the government. These two are real. 
Project Hawai'i, Inc.	290114	5	/users/profile/380393	waianaefamily	Client Served	5	05/16/2016	My family is blessed to know Cliff and Magin. We are so happy to have Project Hawai'i in our lives. Our family counts on their support all year long. We struggle, work two jobs and still can't find a place to live with our large family. Project Hawai'i helps with our needs. We rely on their support. I know that they get donations. Thank you to those who give. You help my children all the time. Thank you for not giving up on us
Project Hawai'i, Inc.	284263	3	/users/profile/374297	LocalDonor2	Donor	5	03/31/2016	What an impact my donations make for these precious children. I provide a $25. donation every month for Project Hawai'i, Inc., to use as the see fit to help the homeless. I follow on Facebook to see what a difference they make everyday. I know that I don't give much, but it seems to really change lives. Last week they were able to help a new found family with a tent, a camp stove, pots, emergency supplies, meal gift cards and of course giving that family hope! WOW, that was just one of the days that I know I was part of that difference. It is amazing the happiness these children receive from the dedicated volunteers who truly make a difference on this island.
Project Hawai'i, Inc.	282739	3	/users/profile/372903	Writer	Client Served	5	03/18/2016	Project Hawai'i and its volunteers have been so blessing to us. Our family was living in homeless situations for many years. We could always count on the support of Magin and Cliff to be there for our family. My children call Cliff Uncle...not just as respect but as a true family member. They feel he was part of our family and was there to help. I can't put in words how happy that is for us to have them in our lives. We are not homeless now. I am going to job training and my children are doing well. One thing that we are so grateful is that when the hard times come, we can still call them. We can reach out for help and know they will help. It has been a family tradition to attend their Christmas party with Santa. We wouldn't miss it for the world. That is the ONLY SANTA my children have ever known, and will ever know. It isn't easy being homeless, and isn't easy struggling to stay here in our appartment, but with Project Hawai'i, we know we will succeed
Project Hawai'i, Inc.	282686	2	/users/profile/372851	Writer	Volunteer	5	03/17/2016	In six months of fundraising with Project Hawaii, I have seen the absolute dedication of Magin and Cliff to helping Hawaii's homeless keiki.  Magin is very efficient with funding, and ensures that all money raised goes directly to those in need without any being taken by a middle man.  This is literally the most efficient and productive charitable organization I have ever seen or heard of.  -Tom 
Project Hawai'i, Inc.	282590	2	/users/profile/372746	Writer	Donor	5	03/17/2016	Aloha to Cliff and Magin.Mahalo for making Project Hawai'i, Inc., such a wonderful program for the homeless children on our islands. I have been a supporter for several years. Not only do I provide donations as needed, but participate in various activities to help raise the awareness and support the program. I have found after being involved with this organization, it is truly heart-led, and unmatched by any other I have been involved with. Keep up the good work. Congratulations on your successes with helping homeless children escape their cycle of poverty. 
