org	id	likes	reviewer_url	reviewer	type	rating	date	review
Idaho Meth Project Inc	221643	1	/users/profile/285329	FKesler,	Client Served	5	10/10/2014	The Idaho Meth Project is composed of an amazing group of people.  Over the last few years they have contributed tremendously to the communities and primarily to the youth of the state.  As chairman of the Meridian Mayors Anti-Drug Coalition, I have seen first hand much of their work.  We have also worked collaboratively with them on several project and they have been a great contributor to our coalition.  The fight against drugs and for the welfare of our children is far from over and thank goodness we have great non-profits like the Idaho Meth Project out there.
Idaho Meth Project Inc	224010	1	/users/profile/287761	Karissa P.	General Member of the Public	5	10/18/2014	Knowing the passion and enthusiasm the leaders of this project bring to our community makes this a five star non profit! Thank you for all you do! 
Idaho Meth Project Inc	223868	1	/users/profile/287623	will23	Donor	5	10/17/2014	Other charities would benefit from following Idaho Meth Project's lead.  They have been instrumental in helping thousands of people in Idaho who otherwise would have had nowhere to turn. They are invaluable to so many and so appreciated in our community.
Idaho Meth Project Inc	223203	1	/users/profile/286946	Hailey A.	General Member of the Public	5	10/15/2014	Idaho Meth Project Rocks!! I know it can help many and save many lives :) 
Idaho Meth Project Inc	223151	1	/users/profile/286896	Malcolm12	General Member of the Public	5	10/15/2014	The Idaho Meth Project is a - maybe the - key organization for stemming the tide of meth use/abuse and associated human and environmental tragedy in the state of Idaho. They need your support. Join me in helping educate our residents of the destructive nature of the meth curse, and help build people up. Support the Idaho Meth Project with your time, money, and/or talents. Meth is more dangerous than most people know. 
Idaho Meth Project Inc	222968		/users/profile/286714	Seriouslyawkward	Professional with expertise in this field	5	10/15/2014	The Idaho Meth Project continues the awesome and difficult work of bringing attention to the issue, as well as creating opportunities to help solve the problems. Leveraging communities to be their own advocates and take a leading role in reducing the impact of this drug and helping eliminate abuse is a challenge, and the Idaho Meth Project has provided the guidance necessary to meet this challenge. 
Idaho Meth Project Inc	222870		/users/profile/286616	Birdie8	General Member of the Public	5	10/15/2014	The meth project is a vital necessity in Idaho and our world today. A great non profit to reach people for help ,support, and education. The organization is definitely making an impact in the community. It's bringing much awareness. Looking forward to lives saved and families reunited!
Idaho Meth Project Inc	221803		/users/profile/285495	Kayla7	Volunteer	5	10/10/2014	As an almost two year member of the Idaho Meth Project Teen Advisory Council, I have been able to witness the good that this organization does for my community. The message itself is amazing, but then the speakers, presentations, and events make it completely inspiring. Every single story I hear, whether it be from the speakers or from recovering addicts who come to our events/booths, changes my life. I am forever changed by the selfless and interactive nature of this non-profit. The fight to end meth use is not yet over, and I am glad that the Idaho Meth Project works every single day to deter use among my community! They make Idaho a better place to live in! 
Idaho Meth Project Inc	221548	1	/users/profile/285234	MayorTammy	Advisor	5	10/10/2014	The Idaho Meth Project is one of the most impactful non-profit I know in terms of message and their education and prevention activities to protect our teens and communities. I am so excited for the future of this organization. TheCity of Meridian has appreciated working with the Idaho Meth Project taff and volunteers - they make a difference in the lives of Idahoans!
Idaho Meth Project Inc	221495		/users/profile/285186	Gary50	General Member of the Public	5	10/09/2014	The meth project is huge in reaching out and educating people in idaho!
