org	id	likes	reviewer_url	reviewer	type	rating	date	review
Extreme Missionary Adventures	300211		/users/profile/391053	Writer	Volunteer	5	08/11/2016	I have known about XMA for over a decade, but I had never taken any trips with them.  I had prayed for their people and looked in awe at the lives they touched, but I had never partnered with them on a trip.  Finally, in June of 2016, I was able to experience a short term mission trip with this excellent organization.  I was thankful for their top notch staff, Ronnie and Tera Dennis.  The Dennis' were fully equipped to handle any logistical questions as well as a few health concerns that impacted our trip.  I also appreciated XMA's philosophy of ministry.  I like how they partner with local churches.  XMA does a wonderful job of partnering with Godly local pastors that can utilize mission groups to further their kingdom work.  Finally, I agree with XMA's strategy to help disciple new believers in the villages.  It is not enough to share the gospel and leave.  XMA does the biblical work of continuing relationships with villages in order to see them grow in the faith.  In conclusion, I would highly recommend XMA and their staff when considering a partnership with a mission organization.  
Extreme Missionary Adventures	299572		/users/profile/390493	divia	Volunteer	5	08/07/2016	My first trip with XMA was 12 years ago when one of our team members, Larry Brady went home to be with the Lord. I was on the VBS team and he was on the Extreme team hiking up in the mountains to a remote village.  La Balsa is located on the Mame river surrounded by mountains. On the recent trip with XMA God allowed me to go down the same mountain and see the memorial for  Mr Larry.  The experience brought alive all the stories of that adventure. I enjoyed ministering to the people of La Balsa on the 12th anniversary of Mr. Larry's flight. On my recent trip, we were able to do VBS and women's ministry in 10 Villages/towns. Never once did I feel in danger and Randy White had all our needs met. Thank you, XMA for a wonderful opportunity " to know Him and make Him known."
Extreme Missionary Adventures	299456		/users/profile/390370	Zac M.	Volunteer	5	08/06/2016	It was an amazing experience with this awesome group of people. God showed up in so many ways. 
Extreme Missionary Adventures	299227	1	/users/profile/390133	Jennifer565	Volunteer	5	08/04/2016	I did my 1st mission with XMA in 2015.  We did vacation bible school with children in Honduras.  The trip was AMAZING.  God did a work in my life through serving others.  I also went to Honduras in 2016 with XMA.  We again did vacation bible school with the children but also added a womens ministry team.  We saw 3 salvations through this team.  XMA is very accommodating and made sure that all details of our trip were handled.  I felt very safe and secure with every aspect of our trip.  Our trip leader, Randy White is an amazing man of God.  He goes over and beyond not only for his team members but for the people of Honduras.  His compassion for the people there is so heart felt and genuine.  We were asked on the last night at the mission house to share a defining moment but we all found it very hard to share only one defining moment because our whole week was full of amazing moments.  XMA is a very God centered organization and 90% of all donations goes straight back into the mission field.  For anyone who has done any research on the percentage of money that goes straight back in to the mission field with other nonprofit organizations knows the rarity of such a big percentage of donations going right back into missions instead of office/corporate use.  Not only do the teams/people who go on missions through XMA respect this nonprofit organization and the work that they do but the people in the countries where the missions take place highly respect the members/team leaders of XMA also.  The love and relationships built between Randy White and the people of Honduras is always amazing to see.  I will do mission work through XMA as long as God allows and highly recommend XMA to anyone who is looking to go on a God centered mission trip.
Extreme Missionary Adventures	297941		/users/profile/347067	CMcKelvey	Volunteer	5	07/25/2016	In June of 2016, our team traveled to Honduras under the leadership of Ronnie and Tera Dennis.  Ronnie and Tera are first class leaders and were prepared to handle every "curve ball" that was thrown in our direction.  Through the expertise of XMA and their contacts within Honduras, our team was able to effectively share the gospel, promote XMA's RevitalEYES program, and worship with the Honduran people. Praise God for XMA, the Dennis's, and the Godly leaders in Honduras!
Extreme Missionary Adventures	258566	3	/users/profile/347067	CMcKelvey	Client Served	5	09/20/2015	Just finished my first trip with XMA and I am one satisfied customer! Randy White had contacts throughout the region and every detail was planned.  Highly recommend XMA!
Extreme Missionary Adventures	293970		/users/profile/384660	Writer	Volunteer	5	06/27/2016	I went on my first foreign mission trip earlier this month under the leadership of both "Lucy" and Randy.  The trip far exceeded my expectations!  Although weather changed our plans a few times, we were still able to plant seeds in 6 different areas.  I hope to be able to return next summer to plant more seeds!
Extreme Missionary Adventures	290557		/users/profile/380920	Jackson R.	Volunteer	5	05/22/2016	I recently returned from a trip into the Peruvian jungle led by Randy White, and what a blessing it was!   We were able to share the love of Christ with remote villages by distributing bibles, witnessing to the villagers, and showing videos that explain who Jesus is.  Sensing the presence of God in the middle of the jungle is an extraordinary experience!  I highly recommend XMA!
Extreme Missionary Adventures	285285		/users/profile/375266	Writer	Volunteer	5	04/08/2016	Traveled with a dental team to the village of Pane, Honduras. Was my first foreign mission trip with XMA and it was a life changing experience. I would highly recommend XMA to anyone who truly wants to make a difference in the lives of those who are suffering in third world countries.
Extreme Missionary Adventures	282766		/users/profile/372931	Susy A.	Volunteer	5	03/18/2016	XMA is a great Godly organization! My son began going to Honduras with Bro. Randy White in 2003. He went to Olanchita several times. Each trip blesses people there, but the volunteers who go on these short term mission trips are changed forever! I live in Hackberry, LA. Hurricane Rita in 2005 and Ike in 2008 devastated our community. Bro Randy White brought countless XMA volunteers to help our community throughout the recovery from both storms. I saw God's love in action from the recipient side of mission work. They built a new home for my husband and me in 2009. I am still overwhelmed! That very year I went to Peru with Bro. Randy, and March 28th I'll be going to Pane',Honduras for the 5th time! I have seen what these people grow and how XMA plants, waters, and harvests! XMA is  God's hands and feet to people all over the world, even in a little community in southwest Louisiana.
