org	id	likes	reviewer_url	reviewer	type	rating	date	review
Lingap Childrens Foundation	320121		/users/profile/140839	megrandmomjean	Donor	5	12/14/2016	I can't let 2016 go by without encouraging everyone to vote for the Lingap Childrens Foundation.  They have not only rescued these children from the street, but have educated them; hence, their lives will be forever changed.  Please go to their website and read of this incredible endeavor.  More importantly please consider their "Place At the Table" program.  For a mere $300 a year they are able to house, feed and educate a child.  This is truly a wonderful program.
Lingap Childrens Foundation	242190	3	/users/profile/140839	megrandmomjean	Donor	5	05/05/2015	Once again I would like to encourage EVERYONE to donate to this incredible children's foundation.  Lingap has not only saved children's lives but also educated and gave them the tools to literally turn their lives around.  Without a doubt it is my absolute FAVORITE charity.  The founder, John Drake, is truly an AMAZING individual.  He and his Board of Directors personally pay for all administrative costs, hence, donors have the assurance that every cent they donate is used for the children.  I know of no better return on my investment.  Mr. Drake also regularly keeps all donors advised of current events.  I feel blessed having interacted with him -- I think he's a living saint.  Please check out their website (www.lingapcenter.org)  and read the lovely and beautiful story of Lingap.  I promise you, it will make you laugh and it will make you cry.  Then please consider donating to their  "Place At The Table Program" -- for a mere $300 a year they can house and educate a child.  That's less than we spend everyday on coffee.  Please think seriously about it, you won't be sorry!
Lingap Childrens Foundation	236707	4	/users/profile/140839	megrandmomjean	Donor	5	01/12/2015	Lingap Childrens Foundation is my VERY FAVORITE charity. It's unbelievable what John Drake has accomplished.  Every penny donated is used for the children and not for any administrative costs, as Mr. Drake and his Board of Directors personally pay for all administrative expenses.  These children who once lived on the street are now in school and attend Church.  They anticipate that 21 children will be enrolled in college next year.  Since education is the best defense against poverty, their lives will be totally changed.  I love knowing that my mere $300 per year for Lingap's  "Place At The Table" Program will feed, house and educate a child.  What a fantastic return on such a small investment.  Thank you, John for all you've done for these children and for the wonderful feeling I experience with each quarterly $75 donation.
Lingap Childrens Foundation	197071	4	/users/profile/140839	megrandmomjean	Donor	5	04/04/2014	The Lingap Children's Foundation is my FAVORITE charity.  Hopefully, this year will be the 3rd year that they've won top honors with "Great Nonprofits".  They deserve it.  I know of no other charity that is run so well, or made such a difference in the lives of countless homeless children.  Please support them.   Any amount will be helpful.  As a donor in their "Place At The Table Program" I can't tell you how wonderful  I feel knowing that my little $300 per year will make such a difference in the life of a child.  Because John Drake and the Board of Directors pay all administrative costs, every penny donated truly goes to the children.  For such a little amount, Lingap is able to house, feed and educate a child.  Quite a fantastic return on investment, wouldn't you say?  If you can't help them financially, please remember them in your prayers.  Thank you :)
Lingap Childrens Foundation	152233	3	/users/profile/140839	megrandmomjean	Donor	5	04/05/2013	Everyone -- Please know:  Every cent contributed is used on the children.  Absolutely no money is spent for administration expenses.  Mr. Drake you're surely loved by each of the children who reside in the Lingap home, whose lives are forever changed as a result of this foundation.  Thank you for giving me an opportunity to feel as if I'm really able to help in this wonderful endeavor by participating in the Lingap "Place At The Table" program -- for a mere $300 a year, Lingap is able to feed, clothe and educate a child.  Surely the best return on any investment I could ever possibly make.  Hugs and love to you, Mrs. Drake and all of the children! Jean Barber
Lingap Childrens Foundation	134765	4	/users/profile/140839	megrandmomjean	Donor	5	11/07/2012	I first learned of the Lingap Children's Foundation several years ago while reading a large (2 or 3-page) article in the Sunday edition of the Detroit Free Press.  The Lingap Children's Foundation is an AWESOME organization.  It was started by Mr. John Drake from Jackson, Michigan, in a very, very poor city named Toledo City, in the Philipines  -- a country literally on the other side of our World.  John was a business executive on what was going to be one of his last trips to the Philipines before his retirement I believe, but God had other plans for John!  I strongly encourage you to visit Lingap's website (www.lingapcenter.org) and read this incredible, miraculous story -- it will make you laugh and it will make you cry.  Lingap's first home had previously been a slaughter house for pigs.  From that humble beginning, they have built a wonderful safe home for the children.  John and his Board members pay for all administration costs.  Every single penny donated to the Lingap Foundation goes for the children.  I personally chose to participate in their "Place At The Table Program".  For a mere $300 a year they are able to house, feed and educate a child.  Truly, I can't tell you how good I feel when my quarterly payment of $75 is sent..................Just knowing that for such a small amount of money I'm helping in my own little way for a child to be provided with not only shelter, safety, and an education, but also LOVE.  They even have tutors to help the children excel in their school work.  They had several of their children graduate from college this year -- what an accomplishment.  In addition to approximately 100 children who live at Lingap year round, they teach and feed literally hundreds of other street children.  John stays in touch with all donors on a very regular basis by sending updated news letters.  This organization is truly one of my absolute favorites.  Please check out their website and perhaps help in any way that you can.  Kindest regards.
Lingap Childrens Foundation	104941	3	/users/profile/140839	megrandmomjean	Donor	5	01/30/2012	What John Drake from Jackson, Michigan, has done for more than 100-children in the Philippines is TRULY incredible!  I read a 3-page article in the Detroit Free Press several years ago and was moved enough to become a member of this group's "Place At the Table".....For only $300.00 a year they are able to house, clothe and educate a child for the entire year!  John Drake and members of their Board pay ALL administrative costs, so every single penny donated goes to the children.  PLEASE read his 45-page document on this website named "I Heard God's Call, But How Will I Answer", maybe it will move you as it has me.................This program is so successful.  I'm thrilled each March when I make my donation, knowing that there is one child being cared for and given a chance in life due to that little amount of money.  If you are unable to donate, please remember this wonderful organization in your prayers and spread the word among your friends.....It is an AWESOME charity.
Lingap Childrens Foundation	301360	2	/users/profile/392277	jchanley	Donor	5	08/23/2016	I've been donating to the Center since 2006 and have been to the Center 5 times. It has been the best experience of my life. John took us to visit the schools and homes the children came from. He has saved these children from deplorable conditions and given them a great chance at a new life. The Center and staff are the best. The children love having us there and we love showering with our love. I'm planning on going again this year, and can't wait to see them all again. Please keep donating to this great Charity.
Lingap Childrens Foundation	299523	6	/users/profile/378027	John Ryan B	Client Served	5	08/07/2016	I'm John Ryan and I am one of the Lingap kids. I was admitted at the Center when I was 6 years old back in the April of 2004 at the old Lingap Center, which was literally a converted pig-slaughterhouse. Life before I came to the Lingap Center was pretty hard. I lost my mother because of pneumonia and my father was jobless. He hardly could not provide all the basic needs of our family of 9 children. I cannot eat 3 meals a day or most of the time, eat nothing at all. I was very sickly all those years brought by malnutrition. That is why, I am very thankful and happy for this enormous blessing and all the people behind this project especially to Tito John and his family for they wholistically changed me. I am now very healthy and am studying at a prestigious school outside of Cebu. This would not have happened if not for the Lingap Center who gave me another chance to have a life and an education. Thank you very much!
Lingap Childrens Foundation	292640	4	/users/profile/383182	borqueb	Donor	5	06/10/2016	I was blessed enough to visit the Lingap Center for a week in late May/early June and the experience exceeded my expectations. John Drake spoke at our church 3 years ago and my wife and I have been Place at the Table contributors since then. We were so impressed with the approach to operating the Center, but most of all, the success that the Center has had with children who really had no hope at all. Seeing the squatter villages where several of the children used to live and the Center itself first hand gave me a great appreciation for the truly miraculous efforts of the Lingap manager and staff and the far reaching impact that the Lingap Center has on the surrounding community, especially the schools and a few of the children's families that the Lingap staff provided a small bag of food to, gave me a great appreciation for what is being accomplished. As John likes to quote, "Let my heart be broken with the things that break the heart of God." In this instance though, while I saw many things in the squatter villages that must break the heart of God, what I was most touched by is that my heart is rejoicing at the Lingap Center and it's kids for God's heart must also be rejoicing.  We will continue to be strong supporters of the Lingap Childrens Foundation and have already started encouraging others to join us.
