org	id	likes	reviewer_url	reviewer	type	rating	date	review
Missoula Urban Demonstration Project	81284		/users/profile/88932	goat	Professional with expertise in this field	5	03/06/2011	MUD brings to my community what no other can.  The expertise and professionalism which is available through MUD is incomparable to any other.
Missoula Urban Demonstration Project	80825		/users/profile/88237	Sundog	Professional with expertise in this field	5	03/01/2011	MUD is the most humble of charities.  I'll bet a dollar will go farther with MUD than just about any group you can come up with.  We have led the solar installation workshop on site, been a member, done small presentations and donated a truck.  Every town should have a group like this to set a great example to youth and allow students to live a sustainable life 24/7.  MUD competes for donors with many other eco-minded organizations and has shown itself to be a survivor.  That is a testament to MUD's true adherence to sustainability.  From worms to tools to compost and manure, MUD gets it right!
Missoula Urban Demonstration Project	80706		/users/profile/88080	archiedog	General Member of the Public	5	03/01/2011	We recycled a old house in Missoula.  We ended up getting ripped off by the company we hired who claimed to be recyclers.  The bank gave us a dead line and we had no money to finish but had joined the people at mud. We needed to sand floors, finish the landscaping, finish plumbing, puddy the windows,put up 2x4 walls,tape walls, paint,build a porch. Then our only vehicle was hit while stopped at a stop light on Broadway. We cryed. Then we took out the list MUD had and started to see what they had.  We got the power washer first and washed down the house and couldn't get the washer back because our friend truck wasnt home so we called and they had another couple who needed it and lived near by,So they arrange for them to pick up at our house. We pick up all sort of power tools to finish the walls 2x4-sheet rock-mudding and the works and they looked thing up for us on how to dothings like framing, mudding nailing, orange peel.  Some times we showed up when they where not open and they helped us anyway.We also used the truck share to haul 2x4s, cement mixer, sheetrockand trees people dug up or wanted to get rid of for our yard.  We ended up meeting the dead line the bank gave us for our first housewe have ever owned.  We thought we were going to lose the house, the houseing market crashed and I lost my job and my husband job was looking like they were going to cut hours for them and we hadused our saving to do this not wanting to rent anymore.  They had ever thing we needed and still do.   Lona 
Missoula Urban Demonstration Project	80693		/users/profile/88067	Ari LeVaux	Client Served	5	02/28/2011	MUD has helped Missoula become a leader in urban sustainability. It's an important and cherished part of MIssoula's character. Missoula would not be the same without it, and more importantly, the MUD model could be applied to other towns, big and small. 
Missoula Urban Demonstration Project	80690		/users/profile/88064	robindb	Client Served	4	02/28/2011	I think MUD provides an invaluable community service.  Our family has utilized several services offered by MUD.  We have accessed the apple press from the tool library on several occassions to make cider with our apples.  My husband has attended several of the workshops offered by MUD as well.  I highly recommend this organization to everyone in my community.
Missoula Urban Demonstration Project	80675		/users/profile/88050	chel82	Client Served	4	02/28/2011	MUD!  My next door neighbor and hardworking partner in sustainable living for several years.  The honest efforts of Missoula Urban Demonstration are a testament to the hard work of non-profits.  Through the collective efforts of dedicated staff and volunteers, MUD has grown from a simple city seed company to a vital community resource for cooperative urban living.  It is a delight to watch them evolve.  I sincerely support their efforts as a Missoulian, neighbor and friend.  
Missoula Urban Demonstration Project	80627		/users/profile/88001	heath	Client Served	4	02/28/2011	The tool library and its employees and volunteers helped me make improvements on my home I wouldn't otherwise have been able to afford.
Missoula Urban Demonstration Project	80624		/users/profile/87996	Lagan T.	Client Served	4	02/28/2011	Missoula Urban Demonstration Project (MUD) is a great benefit to the Missoula community.  I have attended two workshops provided by MUD:  one taught basics of saving seeds relative to gardening/farming, the other taught basic blacksmithing skills.  Both workshops were taught by very knowledgeable and qualified instructors, and were provided to me, a member, at a very affordable fee.  I would highly recommend participating in learning experiences offered by MUD, and advocate for supporting the organization with membership or donations.  MUD also provides an excellent tool library and affordable pickup truck share program.  
Missoula Urban Demonstration Project	80601		/users/profile/87973	troutboy	General Member of the Public	5	02/28/2011	MUD is a phenomenal resource for members of Missoula community.    All in all, this is a very cool place staffed by great people.
Missoula Urban Demonstration Project	80506		/users/profile/87873	gshap	General Member of the Public	5	02/28/2011	A wonderful place for the Missoula community to utilize. Everything from the tool library to the truck share. MUD creates a beautiful neighborhood with their chickens and gardens. Full of good hearted people Missoula is lucky to have MUD. 
