org	id	likes	reviewer_url	reviewer	type	rating	date	review
Miracle Flights	323094		/users/profile/417293	Writer	Client Served	5	02/13/2017	Hola estoy muy agradecida ya que gracias a Uds, mi hijo pudo tener una cita con un doctor en St Louis y pudierion realizar el tratamiento adecuado para sus pies. Gracias a eso esperamos que mi hijo pueda caminar cuando sea mas grande
Miracle Flights	322470		/users/profile/416314	Writer	Client Served	5	01/31/2017	The agent who helped me was very professional.  All questions asked were replied in a timely manner.  It was a nice  surprise to receive my ticket the next day I sent in all my applications.I felt Miracle Flight was here to help me.  Thank you Miracle Flight for making this happen and saving many lives worldwide.
Miracle Flights	322460		/users/profile/416294	Don-Nikki B.	Client Served	5	01/31/2017	Miracle Flights was such a blessing to our family!  From start to finish the process was seamless and they were quick to respond back to me with any questions I had.  Our trip ended up having to be extended a week and they were very accommodating by changing our flight information.  So thankful for Miracle Flights!
Miracle Flights	322452		/users/profile/416280	tarat	Client Served	5	01/31/2017	Miracle flights was a huge blessing to us! We were able to get the treatment our son needed that we couldn't get in our home state. It was the best decision I made to take my son to a different doctor after the first one didn't work out and miracleflights made it that much more easier by not having to worry about the flight cost. Everyone I have talked to on the phone was extremely helpful and courteous. I even had to change a flight home since we got to go home earlier then we thought and they were able to do that right away. A great organization to use and a great organization to donate to.
Miracle Flights	322451		/users/profile/416277	monarcas	Client Served	5	01/31/2017	I have to travel from Alaska to Texas every 6 months in my own expenses  my son needs to get therapy in san antonio Texas and these nonprofit program Miracle  flights makes my life easier  i'm so thankful with Miracle  flightsThanks all the people  Who make this possible 
Miracle Flights	322440		/users/profile/416256	Tonni T.	Client Served	5	01/31/2017	AMAZING!!! Traveling with a special needs child is chaotic, but Miracle Flights thought of everything and made both trips so easy, there was more than enough compassionate help
Miracle Flights	322438		/users/profile/416254	Writer	Client Served	5	01/31/2017	We usually spend 10 to 15 thousand out of pocket per year on my daughters medical expenses. In order to find specialized doctors we have to travel across the US. Miracle Flights has been extremely generous and has helped my family purchase plane tickets to these visits which helps us out extremely! Miracle Flights is an awesome honest organization and we appreciate their assistance so.much!!!!
Miracle Flights	321437		/users/profile/414795	Angelica6	Client Served	5	01/17/2017	Miracle Flights is so wonderful! I cannot express our gratitude enough. They've flown my son and I out 4 times for his doctor visits. I really don't know what we would have done otherwise because we are paying out of pocket for all his medical care. This helped so much. They are efficient, professional, and easy to work with too. We are so grateful for their help!
Miracle Flights	321428		/users/profile/414778	Brittany62	Client Served	5	01/17/2017	My family has been trying to figure out how we can get our children to see specialists. There is no one in our region who can help us or understands my children's conditions. Financially there was no way we could have afforded to go see these doctors. Miracle Flights made it happen for us! The staff that helped us through the application process was friendly and helpful. We did have some challenges getting the application correct (make sure you actually initial the application and not just type in your initials and your doctor needs to sign the letter not your NP), but they helped us every step of the way. While our plane ride was anything but smooth or short, traveling with an infant and toddler makes for an exhausting experience in the best of times, but when a less than 6 hour trip takes more than 16- most of it sitting on a plane- lets just say it was harrowing. That was Mother Nature and the airlines fault and nothing to do with Miracle Flights. My family is indebted to them, and I know that we will need to use their services again in the future for my littles. 
Miracle Flights	320200		/users/profile/412450	knighman	Client Served	5	12/16/2016	We were in need of a major open-heart surgery for our 1-year-old with congenital heart disease. The surgery was in California, and we live in Atlanta. We had already spent tens of thousands on medical bills in the last year and a half, and when Miracle Flights was able to pay for our flight out to CA and back, it was such a huge help for us! They were easy to work with and very on top of things. It was a great experience being served by them, and it made our hard times that much easier!
Miracle Flights	319845	1	/users/profile/411704	Shana I.	Client Served	5	12/05/2016	We first received the gift of a free flight in October of 2015.  We had to travel to an out of state hospital for surgeries for our son.  At the time, we had just finalized his adoption and were drowning in adoption and medical expenses.  Our son was also having a surgery that would make riding home in a car seat nearly impossible.  We are so blessed by this organization and for giving us some relief to the stress our family was experiencing during this time.  We have used Miracle Flights 2 more times since his first surgery.David and Shana Ivarson
Miracle Flights	318475		/users/profile/377606	MiracleNC	Client Served	5	11/07/2016	Miracle Flights is an absolutely amazing organization!!!  They have helped us get to treatment that our son desperately needs for his epilepsy.   The flight coordinators are genuinely caring people that help relieve some of the stress of having a sick child.  Thank you for everything!
Miracle Flights	287502	1	/users/profile/377606	MiracleNC	Client Served	5	04/28/2016	Miracle Flights is truly a miracle!!!  When we were told we were out of options for trying to treat our son's Epilepsy, I sought out every doctor and option that I thought could help.  When that search landed us 500+ miles from home, I thought there has to be a way to find some sort of assistance.  As many of you know raising children is expensive enough without adding any form of illness into the mix.  With extremely limited resources for such travel, I began my next search...and found Miracle Flights.  I spoke with both Debra and Rebecca.  Both women were so helpful with the process and paperwork, understanding, accomadating, and friendly.  Any questions I had were answered in a timely and detailed manner.  All of the digital flight information was easy to understand and use.  We have seen a major improvement in our son's quality of life and well being since seeing our new doctor.  The flights that we have recieved have been life changing for our son!!!  Thank You from North Carolina.
Miracle Flights	314445		/users/profile/405803	terricote	General Member of the Public	5	10/25/2016	Our son Jaron was born with a bilateral cleft lip and palate. We wanted to get him to the best doctors in the country. Being a Homeschooler mother of 4 boys, we cannot afford flights to Boston Children's Hospital. We are so thankful for Miracle Flights and all that you have done for us. 
Miracle Flights	314304	1	/users/profile/405669	Lisa591	Client Served	5	10/25/2016	Thank you so very much for allowing me/us to fly via Miracle Flights.  The opportunity to go to the Mayo Clinic in Rochester, MN was beyond a valuable opportunity and experience.  I couldnt quite understand why I needed to be accompanied by someone else until I got there.  I now know why it is a physical impossibility for a patient to go thru this without someone helping.  From the first day I arrived my itinerary was adjusted with appointments that were back-to-back-to back-to-back appointments.  After the first 2 hours I was in a wheel chair to make it to/from appointments.  I went under a cardiac catheterization on Monday the 1st of August and they found that I not only was suffering from Congestive Heart Failure but now have been diagnosed with Systolic Heart Failure as well as Diastolic Heart Failure. The team at the Mayo Clinic was relentless to search for answers.  The doctors are now conferring and will be back to me with their findings.  They have also brought the team in from Stanford to assist.  The cardiologist at the Mayo Clinic did state that I might need to return but we will see what their team decides.  But whatever is decided, I want to thank you from the bottom of my gimpy little heart thank you for allowing us to be a part of your Miracle Flight Family, without your help I may not have been able to go to the Mayo Clinic because of the logistics issue.  You made the impossible Possible!
Miracle Flights	301450		/users/profile/392382	LaurenKattuah	Client Served	5	08/24/2016	Miracle Flights gave me a chance to see a world famous surgeon who was able to diagnose my debilitating disabling musculoskeletal spine ruptures, whereas if I was not helped, I would have had no hope.  Miracle Flights provided me with the flight to see the surgeon, who has now given me hope and i am on the road to repair and improving my quality of life. Thank You Miracle Flights.  Your organization truly creates Miracles!
Miracle Flights	284124		/users/profile/204968	Monica D.	Client Served	5	03/31/2016	Miracle flights is an amazing organization without them we would not be able to get our daughter Alexa clear across the country to get her life-saving chemotherapy. She is on a medical trial it is one of our very last options. She has been fighting her Brain Cancer for 12 years she is 13 years old. She has many many endocrine issues she can't walk very well or often. She can't use her left hand. She has brain cancer and  Neurofibromatosis (NF-1). She has had 11 brain surgeries and almost that long in years of chemo. Besides helping us get flights every 3 weeks as needed to get to and from The Trial, The Miracle Flights staff are very nice to talk to. They're very helpful and they don't make you feel guilty for asking for help they do everything they can even putting up with you when you make mistakes and call them back time after time haha. Thank you God and thank you Miracle flights for everything you've done for us so far. It is nice to know that they can help you over and over again if your treatment is far away we fly from Oregon to Pittsburgh Pennsylvania every 3 weeks. We are so blessed that Miracle flights is there for us. This is an amazing, incredible, generous Organization.  without them I am very sure that our daughter could die. It truly is "Lifesaving" medical treatmentSincerely,Monica delos Reyes,Alexa & the delos Reyes family
