org	id	likes	reviewer_url	reviewer	type	rating	date	review
Hugs Project Incorporated	304118		/users/profile/395289	Writer	Volunteer	5	09/13/2016	I love working with the Hugs Project. I enjoy hearing the stories of the men and women who receive the packages and how much they love the items in them. The Hugs Project uses everything that is donated to them. This is a great organization made up entirely of volunteers who work from the heart, not for a paycheck.
Hugs Project Incorporated	293930	3	/users/profile/176047	Sherri B.	Volunteer	5	06/26/2016	I started volunteering for The Hugs Project in 2006. This year we assembled care packages to send to the troops! It is a very organized and fun group to be a part of!!
Hugs Project Incorporated	130576	2	/users/profile/176047	Sherri B.	Volunteer	5	10/28/2012	In 2006, when my son joined the Army National Guard, I started looking for an organization for which I could actually do something based around my work schedule. I came across The Hugs Project and the pattern for the "hugs" (cool ties). Since I can sew, I knew this was the organization for me! I could make these on my own time and then simply ship the "hug" to them.That was 6 years ago and I am still doing it, despite being remarried (to a former Navy member) and moving out of state!  I love this organization!!!
Hugs Project Incorporated	292299	2	/users/profile/34265	sherrile	Volunteer	5	06/06/2016	There is no stronger support group for our troops and veterans than the Hugs Project!  I have volunteered in various capacities for years and have learned that no donations are wasted.  All money goes to our troops.  Karen, Ray, and all the loyal volunteers love our military, and it shows in all that they have done and continue to do for our service members.  You may help support this fine organization no matter your age or your financial standing.  Everyone can have a part in uplifting and encouraging our troops by investing your time, talents, &/or treasures.
Hugs Project Incorporated	255986	4	/users/profile/34265	sherrile	Volunteer	5	09/10/2015	The Hugs Project has faithfully supported our deployed troops for years and now they also aid those who have returned with brain injury/PTSD by helping them secure Hyperbaric Oxygen Therapy.  Fantastic group - best return for donations of money and time that I have seen! 
Hugs Project Incorporated	33468	2	/users/profile/34265	sherrile	Volunteer	5	03/17/2010	For about 5 years I have been privileged to serve with the wonderful men and women at The Hugs Project by helping organize some of their Christmas pack projects and by assisting in whatever manner might be needed. Currently I facilitate the recycling of used cell phones and ink cartridges for money to assist with postage and supply needs. My church's military support ministry works cooperatively with The Hugs Project in several ways, and we have involved all ages in our church from children as young as two through our senior citizens.   Karen's assistance to our ministry has been invaluable as has her cooperation with countless other military support groups. Her goal is always to show America's finest young men and women that we care for them and appreciate what they are doing for us back home and for the people in the countries they serve.
Hugs Project Incorporated	291210	3	/users/profile/381594	Julie259	Volunteer	5	05/27/2016	This is a great organization. All donations go to help the troops. No one earns a salary! My mom and I have made cookies, hugs, bracelets, dog leashes and so many other things. We've also collected donations like soap, shampoo, coffee, tea, condiments. This organization has helped me help our men and women serving this great country. I've been a volunteer for many years and plan to continue for many more. Everyone who works there makes you feel loved and respected.Hearing the stories from the men and women who receive the care packages and how much we are helping them feel appreciated makes it all worthwhile. You couldn't ask for a better organization to help. Everything that comes in is used in someway to further the cause. Volunteer or donate today!
Hugs Project Incorporated	289184	2	/users/profile/344710	Diana92	Donor	5	05/09/2016	The Hugs Project is a truly unique nonprofit, benefitting troops and their families and also volunteers who become friends through working with this group.   There are no words for those who lead this nonprofit, for their dedication and loyalty to the troops, and their willingness to donate time, time, and more time.     Oklahoma City is a better place because of The Hugs Project.   
Hugs Project Incorporated	256310	3	/users/profile/344710	Diana92	Donor	5	09/10/2015	The Hugs Project is a super non-profit with a great, dedicated group of volunteers. I am so proud to have The Hugs Project as a local group to which we can donate.  What a special service this organization offers to our troops and veterans.  
Hugs Project Incorporated	289175	2	/users/profile/120643	Debra N.	Donor	5	05/09/2016	I personally know The Hugs Project and what they do for our military men and women.  My Mom and I have donated food items and fabric and sewn for The Hugs Project for our men and women.  This organization LOVES our military and goes above and beyond.  I will continue to do whatever I can to support them.  
Hugs Project Incorporated	136356	2	/users/profile/120643	Debra N.	Volunteer	5	11/09/2012	I have been a member of The Hugs Project Oklahoma City for the past few years.  Due to health problems, I have not been able to participate except through donations of fabric to make Cool Ties (Hugs) and other items to put in the Care Packages to send to our Military men and women.  When I had family members serving overseas, The Hugs Project made sure they received a Care Package.  They work very hard and are very dedicated to our Military men and women.
Hugs Project Incorporated	99722	3	/users/profile/120643	Debra N.	Donor	5	10/25/2011	Although I am not physically able to volunteer at The Hugs Project, my Mother and I donate fabric to this organization.  I have also gotten donations of tooth brushes, tooth paste and dental floss from my dentist.  I have family members who have donated their time.  My daughter is an Extreme Couponer and has donated hygiene items, non-perishable food items.  Our family LOVES our military men and women and The Hugs Project is a remarkable organization.  God Bless America and this organization for their hard work.
Hugs Project Incorporated	288568	1	/users/profile/353006	Angie62	Volunteer	5	05/05/2016	As a 4-H leader, I am constantly searching for community service projects for the kids to participate in.  Karen and Ray Stark are such sweet people who work with the kids and never let us leave without Karen visiting with them about her 4-H career.  Coming from a military family, I am more than eager to support our service men and women.  It gives me pride to know that a box we packed was sent and received by very grateful military personnel.  I know that a small gesture on our part helped make a person far from home a little bit brighter!  I highly recommend everyone to take a few hours to volunteer at The Hugs Project in support of our military!
Hugs Project Incorporated	264292	4	/users/profile/353006	Angie62	Volunteer	5	10/15/2015	I have been working with the Hugs Project & Karen Stark for years through my 4-H Club.  She never fails to tell her story to the members and it just seems to hit home with many of them!  Being able to send a little bit of love from home to our men and women stationed so far from home is the least we can do!  The Hugs Project in Oklahoma is a wonderful organization that never says "no"!  Through the countless hours and volunteers, Karen tries to ensure that every Oklahoman stationed abroad has a care package which shows her passion for our military!  The need for care packages are not as many as in the past, but the donors, volunteers and staff continue with the mission.  If you are looking for a great organization to donate to whether, it be monetary; time or products; you will not be turned away!!
Hugs Project Incorporated	288467	2	/users/profile/378663	Jennifer539	Donor	5	05/04/2016	My husband and I donated 144 baseballs to the Hugs Project a couple of years ago - it was great! They tucked one in each of 144 care packages going to Iraq and Afghanistan. We were so glad to be able to help.
Hugs Project Incorporated	288455	3	/users/profile/120750	Donnie W.	Client Served	5	05/04/2016	The Hugs Project supported me and my guys through a couple of tours too.  You cant find a better organization.   They are aces!!!
Hugs Project Incorporated	255583	2	/users/profile/120750	Donnie W.	Client Served	5	09/09/2015	I'm one of the lucky ones who was supported during all three tours in the Middle East.  I can't say enough good things about The Hugs Project.  They are rock stars in my eyes!!!
Hugs Project Incorporated	209903	2	/users/profile/120750	Donnie W.	Client Served	5	08/10/2014	I was deployed to both Iraq and Afghanistan and the Hugs Project took care of me and my unit both tours.  You couldn't ask for a better agency.  They really care about all military personnel.  Their boxes are filled to overflowing with all kinds of supplies that are hard to get on the other side of the world.  It's great to have them on our side.
Hugs Project Incorporated	153834	2	/users/profile/120750	Donnie W.	Client Served	5	04/09/2013	Good afternoon! Hello!   I received your care package this afternoon and wanted to make sure you received my "Thank you!"  It was a very welcomed surprise.  We don't get very much mail where we are and this made my day.  I especially love the 550 paracord bracelet.  We hope to get more of these for the members of my command so don't worry, they definitely let us wear them.  I am currently stationed in Afghanistan.  We play board games or read, when we are not on missions.  Missions take up most of my time.   Keeping you guys safe at home isn't easy, but I am proud to do it for you.  Packages like this from home make me know that you appreciate what we do out here. Coming from a small town in Maine I really appreciate the support from all of you. Thank you......everyone.......who helped put this together.   v/r,   Donnie
Hugs Project Incorporated	130573	3	/users/profile/120750	Donnie W.	Client Served	5	10/28/2012	The best thing that can happen to a troop is to receive love and support from the American public.  The Hugs Project goes above and beyond to send us that kind of love.  They let us know they care about us and that they realize where their freedoms come from.  We receive a lot of letters and they were passed around so that they brought a lot of smiles to many, many faces.  Thanks, Hugs Project.
Hugs Project Incorporated	99756	4	/users/profile/120750	Donnie W.	Client Served	5	10/25/2011	We got boxes while we were overseas.  The care packages and letters of support make a big difference in our morale.  It's good to know someone cares.
Hugs Project Incorporated	288428	2	/users/profile/120993	John23456	Donor	5	05/04/2016	The Hugs Project supported both my sons through their many deployments.  You can't find a more deserving or worthwhile organization.  Thank you from this dad's heart. 
