org	id	likes	reviewer_url	reviewer	type	rating	date	review
Big Tree International	220269	4	/users/profile/283919	Simona S.,	Donor	5	10/06/2014	We have been repeatedly impressed with the integrity and energy of Big Tree International founders; their vision in caring for others, going the second (and third) mile to bring help and relief to those most in need, and in sustaining a vision for what that care and provision needs to look like next year and in five or ten years in order to be effective and progressive.  Five stars well deserved!The Spear Family Foundation
Big Tree International	280462	3	/users/profile/370346	Writer	Donor	5	02/17/2016	Big Tree Int'l is making a HUGE difference for vulnerable women and children in China. They stand up for basic human rights and bring hope and help at the time of crisis. The organization is run with utmost integrity. I am so thankful for the work they do.
Big Tree International	224762	1	/users/profile/288522	cathyfahy	Donor	4	10/21/2014	Big Tree International is such a wonderful organization to support as they serve the people of China with love and caring. They are very good at keeping us informed of their needs and of their progress. 
Big Tree International	224688		/users/profile/288449	Jesusdancer2014	Donor	5	10/21/2014	We love the mission of Big Tree International. It is wonderful and encouraging to know that this ministry is in place and we love to stay involved and up to date on what is happening. 5 stars for sure!
Big Tree International	224673		/users/profile/288432	Thomas_Barry	General Member of the Public	5	10/21/2014	My name is Tom Barry.  I served as a teacher at the FIRE School of Ministry and as its Director of Pastoral Care during the time that Matt Ziebart attended FIRE. My wife and I became very well acquainted with the Ziebarts and spent a significant amount of time with them during their early years as husband and wife.  I also employed Matt as a contractor to build an outdoor deck at my home. We have seen them do what was necessary to have a successful marriage and family.  We have watched as they have worked hard to pour themselves out in behalf of others and have boldly taken the initiative to help those who cannot help themselves. We can give the Matt and Hallie our highest recommendation for their personal character, work ethic, zeal and concern for others, and would be glad to answer any additional questions you may have. Sincerely,Tom Barry704-905-3435
Big Tree International	221126		/users/profile/284838	Jason_Fer	Donor	5	10/09/2014	My wife and I love the heart of Big Tree. They truly understandthe role we, as the church, are to have in the lives of orphans. Not only do they understand it, but they are passionate about helping to equip the church to pour out into these little lives as well. They have a very real and unique vision that we find refreshing. We feel honored to be apart of such an awesome organization.  
Big Tree International	221069	5	/users/profile/284768	Joshuah R.	Volunteer	5	10/08/2014	I recently visited their operation in China and it was thoroughly impressive what they have accomplished and the amount of time they have done it in. If half of the other non-profits i know were run with this efficiency we would be living in a different world.
Big Tree International	220745		/users/profile/284421	Surfing	Donor	5	10/08/2014	We are glad to have an honest non-profit organization in China, Big Tree International, where we know that our finances are really used to help families and children that need an extra hand. 
Big Tree International	220405		/users/profile/284052	Jeremy19	General Member of the Public	5	10/06/2014	Big Tree International has blown me away.  The success stories, and overall accomplishments of this organization surpass what I would have never imagined possible.  The integrity and transparency of this institution is something to be desired among other non-profits.  I highly recommend Big Tree International as your first contact for information regarding orphans in China and around the world.
Big Tree International	220277	3	/users/profile/283926	Don_35	Professional with expertise in this field	5	10/06/2014	Big Tree International is an excellent non-profit organization that helps orphans in China and around the world.  The organization I lead has been donating funds to them for the last two years and I've been very pleased with the diligent effort they make. They communication consistantly and report with transparancy about the use of funds. Any person or organization wanting to make a difference in the world could not find a better place to invest!
Big Tree International	220269	4	/users/profile/283919	Simona S.,	Donor	5	10/06/2014	We have been repeatedly impressed with the integrity and energy of Big Tree International founders; their vision in caring for others, going the second (and third) mile to bring help and relief to those most in need, and in sustaining a vision for what that care and provision needs to look like next year and in five or ten years in order to be effective and progressive.  Five stars well deserved!The Spear Family Foundation
Big Tree International	220240	1	/users/profile/283887	itravelglad	Professional with expertise in this field	5	10/06/2014	Big Tree International is a family-oriented organization serving the women and children of China and helping orphans around the world.  They have excellent communication with their donors, transparent, honest representation of their work and are quality individauls.  
Big Tree International	220225	1	/users/profile/283871	d.booleigh	Client Served	5	10/06/2014	I love Big Tree International because their work is hands-on, personal, and practical. I have worried with other nonprofits that my money will get lost in advertising or paying for overhead and very little of it will do any good. Not so with Big Tree International! No middle-men, just their work to help orphans and churches around the world. Plus, the people that run it are super kind and down-to-earth. The website is organized well, and it's easy to donate. Absolutely love them!
Big Tree International	220176		/users/profile/283804	fullspectrum.tech	Donor	5	10/06/2014	We have supported Big Tree for a few years.  They are amazing people and we just love them, the work they do and their Big Hearts :)I know how much they do, and how they really live what they believe.  It makes a real difference in the lives of the people they touch.  We need more people like this to put their own lives 'on hold', and travel to serve others.So thankful for them.
Big Tree International	220174		/users/profile/283802	Greg53	General Member of the Public	5	10/06/2014	I have known Matt and Hallie Ziebart for years! They are incredibly loving, honest, loyal,  human beings, that live to love and serve! I fully support this organization  and what they do! 
Big Tree International	220173		/users/profile/283801	Rubydia	Donor	5	10/06/2014	I have known the founders of this non-profit for years and they are amazing high-quality people. They put their heart and soul into what they are doing and I am THANKFUL for them and their vision. It blesses me greatly knowing the difference they are making and I get to play a small part in it by praying and giving into it. 
Big Tree International	220171	1	/users/profile/283798	Rachel126	Donor	5	10/06/2014	I am constantly impressed by these people! They are highly professional, honest, and have a dedication, that stands the test of time! If you look in the dictionary (English or Chinese), you will see their picture under the definition of honest. They have integrity like no other! I am always in awe, and think of them often. Any monies giving to their organization is money truly well spent.
Big Tree International	220169	1	/users/profile/283796	Aurora E.	Donor	5	10/06/2014	The founders of BTI are passionate and diligent in their work. As they serve struggling families, foster children and orphans in China, the needs they seek to meet could easily be daunting and depressing, but BTI always communicates with hope and clarity, joyfully spreading their vision for all Chinese children to enjoy a home with loving parents. They NEVER appeal for support using guilt or pity, but because they have genuine joy in their work and believe in what they are doing, their compassion is contagious.  I always show my children the update letters from Matt and Hallie, and my children were so excited when they got to meet them at a local presentation. As an organization, BTI is mobile, agile, flexible, full of "salt of the earth" kinds of people. They welcome new visionaries and leaders onto the team, and give them great freedom *and* accountability to pursue their area of passion. BTI seems more focused on their growth in impact than financial comfort. They are resourceful and diligent in their use of funds, pushing their resources to do as much good as possible. I am very impressed with BTI's relationships in China and their diligence to build a good reputation with individuals and with the government.  They believe the highest impact for the welfare of Chinese families is equipping native families and communities. It might be easier--and less effective--to set up orphanages and foster homes run by American staff, but the BTI has something much bigger in mind: influencing a culture and a nation to take care of its children. As they put in time to build relationships in China and train Chinese foster parents and adoptive parents, they are building a legacy that, Ibelieve, will span generations.Bravo, BTI!
Big Tree International	220167		/users/profile/283794	specialop	Donor	5	10/06/2014	Blessed to be able to support this wonderful ministry in some small way!  Cannot wait to see even more potential realized through them! Love you guys! 
Big Tree International	220158	1	/users/profile/283786	jentheo	General Member of the Public	5	10/05/2014	BTI is is necessary and very beneficial organization run by high quality individuals. They are organized, strategic, and very motivated. I am very pleased with the work they do, and would recommend them to anyone. 
Big Tree International	220157		/users/profile/283785	Shelly T.	Donor	4	10/05/2014	This organization inspires me! I love the work, the mission, and the heart behind BTI, I am blessed to support this ministry and look forward to see where it goes in the future!   Matt is an awesome communicator, and Hallie's heart is beautiful! 
Big Tree International	220269	4	/users/profile/283919	Simona S.,	Donor	5	10/06/2014	We have been repeatedly impressed with the integrity and energy of Big Tree International founders; their vision in caring for others, going the second (and third) mile to bring help and relief to those most in need, and in sustaining a vision for what that care and provision needs to look like next year and in five or ten years in order to be effective and progressive.  Five stars well deserved!The Spear Family Foundation
Big Tree International	220154	2	/users/profile/283781	harleyhome	Donor	5	10/05/2014	One of the best nonprofits we know of--our family enjoys partnering with BTI in their efforts, and plan to do so for years to come. The BTI team is highly dedicated to their mission, are highly effective, and are an inspiration to us. We strongly support them, and encourage others we know to invest in this work.
