org	id	likes	reviewer_url	reviewer	type	rating	date	review
FINDINGbalance	287858	2	/users/profile/377988	Rebecca163,	Client Served	5	05/01/2016	The Lasting Freedom program (part of Finding Balance) has made a remarkable difference in my life.  I had been searching for help from eating disorder thoughts and behaviours for over two years when I found and decided to join Lasting Freedom.  I have not regretted it for one minute!  I have continued on with the program each session since I started with them in July 2015.  This is the first support program that has shown me that there is hope of recovery from an eating disorder.  Previous to this, I felt alone, hopeless and helpless.  Lasting Freedom takes a different approach.  This program has made me realize that I am not alone.  There are many adult woman diagnosed with eating disorders. Also, it has helped me to realize that I am not hopeless.  There is always hope because of Jesus!  Help is there.  Help is available to those who are searching for it.  I feel valued and loved.  I feel like I matter.   I am thankful for this program and the women who have worked hard to create it and keep it going.  I would highly recommend this program to anyone who is feeling trapped inside of an eating disorder.  
FINDINGbalance	302582		/users/profile/393718	Writer	Client Served	5	09/04/2016	So thankful to find something that could meet my needs of fellowship, teaching, and understanding. It was an economical addition to my recovery. Looking forward to being able to continue to grow with this wonderful organization. 
FINDINGbalance	302497		/users/profile/378384	Margaret80	Client Served	5	09/03/2016	Working with the Finding Balance Program and participating in their on line program "Lasting Freedom" is bringing so much Hope into my life!   This program has challenged me to work at changing my own attitude about so much in my life.  I am learning that God is right here with me all the time.  I am learning to ask God's help and realize that I am not on this journey all by myself. The facilitators of this program are just so very honest and patient.  They nudge you just when you need a "nudge" and they share their own struggles in such a genuine way.  I am making positive forward progress.  This progress might be deemed slow by some but I am learning that "slow" is real progress.  I was experiencing so much shame in my life over my compulsive overeating.  I just did not think I could ask God to help me first because I felt like such a failure.  Finding Balance has taught me to try each and every day to put God first in my life.
FINDINGbalance	288170	1	/users/profile/378384	Margaret80	Client Served	5	05/03/2016	I am so very grateful that God led me to Finding Balance.  I had been struggling with my eating disorder for years.  Periods of Recovery and then periods of relapse.  I have been in Recovery successfully from addictions for 29 years.  My personal struggles with my overeating have been longstanding. I just could not seem to get recovery with my overeating - I needed something more for the Eating Disorder.  I appreciate all the people and programs that have given me support.  However, I am finding and developing such a sustaining relationship with God thru a woman's program called Lasting Freedom.  Finding Balance has such dedicated facilitators and many of them with there own personal recovery from an Eating Disorder.  God Bless all the staff.      Maggie/AZ
FINDINGbalance	302475		/users/profile/393610	nanzee81	Client Served	5	09/02/2016	I've been involved with Finding Balance for over a year and have the highest regard for the organization and what they are doing. It is ran by people with hearts for God and serving others. What I appreciate about Finding Balance is they are very clear on what their mission is and very deliberate in going about it. Through Finding Balance I have gained a closer walk with God, a community of Christian women who are committed to God and their recovery and great strides in my own recovery. I truly believe in what Finding Balance is about and hope to be a part of it's success for years to come.
FINDINGbalance	302463		/users/profile/393598	label	Client Served	4	09/02/2016	I have been apart of FindingBalance this summer after completing treatment at Selah House last year. They have been such an integral part of my continued recovery and helped in growing my faith. Thanks to Constance, Jeannette, Bethany and the whole team. I feel so blessed to have you as part of my support team. Love you and am so grateful for you.
FINDINGbalance	302395	1	/users/profile/377767	Writer	Client Served	5	09/02/2016	What I love about Finding Balance is how real, honest and raw we can be. We can listen, and answer to help each other. We share scripture, music and stories. It's all about the Faith based COMMUNITY! That's what I love!!
FINDINGbalance	287642	2	/users/profile/377767	Writer	Client Served	5	04/29/2016	I have dealt with addictions, eating disorders and self esteem problems my whole life. I started Finding Balance and GOD has worked through them to me! The learning videos have been spot on, we are all from different walks of life, but we are all so similar. And we ate learning, supporting and being blessed!!Best group EVER!!
FINDINGbalance	288050	1	/users/profile/378252	Writer	Client Served	4	05/03/2016	The Daily Vitamin speaks the Truth of Jesus to me every day.  It's like He knows just what I need to hear and remember and the DV is His affirming His Presence in my life.  God uses Constance and her findingbalance team to know how to be active in faith in Jesus, encourages us to take the "next right step" in faith and away from our unhealthy behaviors and thoughts.  I love love love this devotional and all that findingbalance continues to do to reach us with unhealthy eating and body image issues.  
FINDINGbalance	288000	2	/users/profile/378200	Dshaffer	General Member of the Public	5	05/02/2016	The Daily emails inspire me to stay on track. I'm very grateful for them.
FINDINGbalance	287995	2	/users/profile/378190	Writer	General Member of the Public	5	05/02/2016	Very thankful for this encouraging and uplifting message every morning. 
FINDINGbalance	287994	2	/users/profile/378189	Writer	Client Served	5	05/02/2016	This charity is very inspirational for finding freedom from food anxiety through Christ and provides many resources I am very thankful for it
FINDINGbalance	287992	2	/users/profile/378186	Writer	Volunteer	4	05/02/2016	The Daily Vitamins are a constant encouragement and reminder in my life, so wonderfully written.
