org	id	likes	reviewer_url	reviewer	type	rating	date	review
The Caring Center Inc	305440		/users/profile/396687	Terry93	General Member of the Public	5	09/19/2016	True Care is an asset to this community. I have had the privilege of interacting with the board and find their stewardship of this organization to be passionate and stewarded with integrity. The people that work at True Care are genuinely concerned for their patients. 
The Caring Center Inc	304950		/users/profile/396158	Tera R.	Donor	5	09/15/2016	My husband and I have contributed to the Caring Center for several years, personally and through our church during the Baby Bottle Boomerang fund raiser.  There is only one reasonwe do this and that is to save the lives of unborn children who have no voice. Terry Winslep and each of her devoted staff members  go beyond the norm in time, talent and love to care for mothers and their unborn child.  Its remarkable the devotion these ladies show in all they do.
The Caring Center Inc	295249		/users/profile/386060	Gerise V.	Donor	5	07/11/2016	My husband and I have donated to the Caring Center for many years and we feel very blessed to have this amazing resource in our community. We live in such a culture of death these days, the Caring Center brings hope back into this world. Hope for the future and for those people who don't always have hope in their lives. Terry Winship, the director of the Caring Center, is the best of the best and truly desires to make a difference in the world. I believe she and her staff are making a beautiful difference in our community and the world by saving the lives of these babies and momma's. Keep up the amazing work Caring Center!!! In Christ, Richard "Yogi" & Gerise Vignaroli
The Caring Center Inc	282612		/users/profile/372770	Writer	Volunteer	5	03/17/2016	I have been involved at various levels with TrueCare for around five years. Currently, my wife and have the privilege of partnering and volunteering with them through our local church. True Care maintains a high level of focus and clarity  in achieving their mission. They have exemplified excellence administratively, organizationally, and, most importantly, relationally. Our community is better because of the work that True Care does through empowering women who have found themselves in an unplanned pregnancy to make the best choice and turn fear into confidence. I even know first hand, my sister was their client and if it had not been for them, I am not sure where she would have landed. Thank you TrueCare!
The Caring Center Inc	282540		/users/profile/372698	Writer	Donor	5	03/16/2016	The  Caring Center is a great resource for the Casper area. Their approach to the sanctity of life is tremendous and I support them in their endeavor.
The Caring Center Inc	282462		/users/profile/372618	Writer	Volunteer	5	03/15/2016	I'm so glad there is a non-judgmental place for pregnant women to go to receive information and support.  The staff all truly care about the women who come and are passionate about helping them in may aspects of their life and pregnancy.   
The Caring Center Inc	282404		/users/profile/372561	Writer	General Member of the Public	5	03/15/2016	True Care is a great asset to our community providing informed and relevant options to the women of the Wyoming area. They are dedicated to providing quality services and genuine care for patients and treat their volunteers and donors with respect and up to date information. We are so impressed with True Care!
The Caring Center Inc	282198		/users/profile/372333	Writer	General Member of the Public	5	03/12/2016	True care is such a wonderful resource for pregnant women. They have great medical and professional resources to help women in any circumstance. Such a great place with such kind people! They are so helpful and I would recommend this place to anyone needing any kind of support or direction in their pregnancy! 
The Caring Center Inc	282032		/users/profile/372138	Writer	Volunteer	5	03/09/2016	True Care is a tremendous resource for women facing an unplanned pregnancy. Their staff and volunteers are compassionate and truly help women know all their options. I'm impressed that their services are not limited to helping women as they learn they are pregnant, but they are committed to empowering them with resources fo the long haul. This organization is a necessary asset to our community and I'm grateful for their services.
The Caring Center Inc	281518		/users/profile/371567	Writer	Volunteer	5	03/02/2016	The staff at The Caring Center are knowledgeable in their positions and very kind. They do a great job of training their volunteers so that everyone is on the same page with the mission of the organization and so everyone feels confident and comfortable in the roles they play. They follow up quickly with those who want to volunteer or who give a donation, making it clear that they appreciate the support they receive. 
